,Breath_ID,Time_Step,Flow,Pressure,Target_Class_0,Target_Class_1,Target_Class_2,Target_Class_3,Target_Class_4,Polynomial_Area,Hull_Area,ft_TV_1,ft_TV_2,ft_TV_3,ft_P_1,ft_P_2,ft_P_3,TV_Max,TV_Min,P_Max,P_Min,Perimeter,Width_TV_Range,Height_P_Range,Centroid_X_TV,Centroid_Y_P,Dynamic_Compliance,Aspect_Ratio_H_W,Curvature
59,59,0,2.18,5.01,0,1,0,0,0,456.5618539999998,586.7794289999998,7775.749399999994,652.2069835893053,637.605909541799,1930.92,1867.7008194686869,1691.56719493992,25.568799999999996,0.0,37.08,0.0,125.5431363974406,25.568799999999996,37.08,9.719686749999996,2.4136499999999996,0.6895577130528586,1.4502049372672947,3.2286211075889737
60,60,0,2.04,5.25,0,1,0,0,0,358.2414389999999,509.86665899999974,3515.345799999999,1050.5834093530555,993.3634032982458,1992.48,1914.1834144477782,1699.0034520023828,22.38399999999999,0.0,37.65,0.0,126.66592746279916,22.38399999999999,37.65,4.394182249999997,2.4906,0.5945285524568391,1.6820050035739822,2.5003963891283196
61,61,0,2.17,5.22,0,1,0,0,0,391.97920999999985,520.4182239999999,4660.9297999999935,924.4981486789452,884.0005109095491,1952.48,1882.3181858055937,1688.0772436534326,23.68199999999999,0.0,36.9,0.0,116.20725003377257,23.68199999999999,36.9,5.826162249999992,2.4406,0.6417886178861787,1.5581454269065118,8.294954806742842
62,62,0,2.05,5.41,0,1,0,0,0,312.73441900000006,420.977467,4335.493999999999,672.0694643624788,653.4102314295208,1767.2,1730.9766028875945,1627.0439201163576,20.3806,0.0,36.0,0.0,101.8023426179864,20.3806,36.0,5.419367499999998,2.209,0.5661277777777778,1.7663856805000833,1.669367461839665
63,63,0,2.18,5.22,0,0,0,0,0,289.06360599999994,429.809058,1766.373600000003,1160.6052373143239,1094.1584154268603,1980.79,1902.7177943812005,1688.102879913467,20.845,0.0,35.76,0.0,116.42827546953015,20.845,35.76,2.207967000000004,2.4759875,0.582913870246085,1.7155193091868555,3.1230744777546016
64,64,0,2.12,5.3,0,1,0,0,0,377.93005099999993,505.33517899999987,4073.300200000001,1003.8231685515827,958.9815231604988,1903.85,1846.1870093931943,1684.5884895425042,23.766999999999996,0.0,35.55,0.0,114.78709026237475,23.766999999999996,35.55,5.091625250000002,2.3798125,0.6685513361462728,1.4957714478057813,2.535416670648853
65,65,0,2.07,5.22,0,0,0,0,0,337.1736390000004,491.2934830000004,1629.8519999999994,1462.610040454212,1346.5029591990926,2125.87,2007.43322993802,1692.201305792266,23.893399999999996,0.0,34.81,0.0,143.02849984107417,23.893399999999996,34.81,2.037314999999999,2.6573374999999997,0.6863947141625968,1.456887676094654,3.724646623819151
66,66,0,2.18,5.24,0,1,0,0,0,443.5987639999999,593.1003349999999,7268.8344,659.4059795545531,647.2783776693059,1837.04,1794.580703198985,1673.635432270171,24.843600000000002,0.0,36.93,0.0,135.7071766729787,24.843600000000002,36.93,9.086043,2.2963,0.6727213647441106,1.4864995411293047,3.014276996878531
67,67,0,1.96,5.25,0,1,0,0,0,408.9904830000003,548.4833130000003,4503.822000000007,993.4225941412474,954.0364823864214,1921.78,1862.9048349001923,1698.084475320126,24.905000000000015,0.0,34.19,0.0,124.28293801887905,24.905000000000015,34.19,5.629777500000009,2.402225,0.728429365311495,1.3728167034731973,9.889503906145654
68,68,0,2.04,5.42,0,0,0,0,0,251.66127900000006,436.42703700000015,906.5886,838.0627525191203,802.5122062377694,1443.63,1396.720267869965,1264.4374701221684,20.225400000000004,0.0,38.65,0.0,131.48651625600883,20.225400000000004,38.65,1.13323575,1.8045375000000001,0.5232962483829238,1.910963442008563,2.5622297998767785
69,69,0,2.21,5.15,0,0,0,0,0,382.7782099999997,567.4213069999998,1801.5800000000008,1680.6548144079457,1504.7233482320928,2299.66,2112.9195386907486,1640.004648220887,25.39100000000001,0.0,36.31,0.0,165.88566469955447,25.39100000000001,36.31,2.251975000000001,2.8745750000000005,0.6992839438171304,1.4300342641093298,3.374357101963856
70,70,0,2.01,5.3,0,1,0,0,0,395.7158770000002,528.4431260000002,5191.961400000004,892.8134978428096,852.8847650064838,2041.8600000000001,1956.5550617367073,1723.6576303313173,23.83820000000001,0.0,35.43,0.0,147.30681168997415,23.83820000000001,35.43,6.489951750000005,2.5523249999999997,0.672825289302851,1.4862699364884926,4.733318779309592
71,71,0,2.07,5.33,0,1,0,0,0,96.46503400000006,210.5586410000001,1346.2302000000027,574.9899299875552,555.6459467842022,1820.3200000000002,1779.876722409221,1664.4300643262968,13.117800000000004,0.0,37.32,0.0,124.86233726188522,13.117800000000004,37.32,1.682787750000003,2.2754000000000003,0.3514951768488747,2.844989251246397,3.858280628506062
72,72,0,2.19,5.24,0,1,0,0,0,372.5558189999998,496.5883569999999,6265.898199999995,472.2558441387264,468.83648313579664,1817.9499999999998,1778.70045687338,1666.5131235995707,21.541799999999995,0.0,34.74,0.0,138.776509183272,21.541799999999995,34.74,7.832372749999995,2.2724375,0.6200863557858375,1.612678606244604,1.9962470821364597
73,73,0,2.11,5.22,0,1,0,0,0,320.06530300000014,452.0405670000002,3489.291200000005,897.878731471617,857.1895037114748,1907.1399999999999,1849.4723583388777,1687.8863774848478,20.793,0.0,35.38,0.0,120.21410821808324,20.793,35.38,4.361614000000008,2.3839249999999996,0.5877049180327868,1.7015341701534172,1.757631192037819
74,74,0,2.21,5.14,0,1,0,0,0,455.4487079999998,601.7502359999999,7251.359399999988,645.8144675469291,635.1772225615271,1816.62,1776.3502343467662,1661.3468182276963,25.3986,0.0,37.09,0.0,127.41840685289426,25.3986,37.09,9.064199249999987,2.270775,0.6847829603666755,1.460316710369863,1.2932562387181958
75,75,0,1.97,5.24,0,1,0,0,0,299.06912799999986,415.0388949999999,3148.642199999996,805.1425772490304,776.0312071890629,1825.39,1780.0920585029958,1651.5024927954973,19.891199999999998,0.0,35.84,0.0,100.64309985678484,19.891199999999998,35.84,3.9358027499999952,2.2817374999999998,0.5549999999999999,1.8018018018018023,1.9036889606555338
76,76,0,2.2,5.32,0,1,0,0,0,253.96778799999998,361.478411,2100.8145999999997,862.9092778330858,826.8946003322027,1849.27,1800.4434029064264,1662.343938117644,18.360599999999998,0.0,35.13,0.0,101.42569213165656,18.360599999999998,35.13,2.6260182499999996,2.3115875,0.5226473099914603,1.9133361654847885,2.0150547746939353
